page,link,author,source,title,date,category,subcategory
0915,https://github.com/lilbud/btx-article-dump/articles/concert_review/2012-09-07_bruce_springsteen_at_chicago_s_wrigley_9_[0915].md,Michael Roffman,Consequence of Sound,Bruce Springsteen at Chicago's Wrigley Field (9/7),2012-09-07,Concert Review,
1001,https://github.com/lilbud/btx-article-dump/articles/commentary/1974-02-09_springsteen_turns_on_the_heat_[1001].md,Chris Charlesworth,Melody Maker,Springsteen Turns On The Heat,1974-02-09,Commentary,
1002,https://github.com/lilbud/btx-article-dump/articles/concert_review/1975-10-16_bruce_springsteen_at_the_roxy_los_1975_[1002].md,Bud Scoppa,Phonograph Record,"Bruce Springsteen at the Roxy, Los Angeles 1975",1975-10-16,Concert Review,
1003,https://github.com/lilbud/btx-article-dump/articles/interview/1981-05-31_a_responsible_rocker_[1003].md,Richard Williams,The Sunday Times,A Responsible Rocker,1981-05-31,Interview,
1004,https://github.com/lilbud/btx-article-dump/articles/concert_review/1981-06-06_brighton_centre_1981_[1004].md,Lynden Barber,Melody Maker,Brighton Centre 1981,1981-06-06,Concert Review,
1005,https://github.com/lilbud/btx-article-dump/articles/album_review/born_in_the_u.s.a/1984-06-09_sandy-robertson_sounds_[1005].md,Sandy Robertson,Sounds,Born in The USA Review,1984-06-09,Album Review,Born In The U.S.A.
1006,https://github.com/lilbud/btx-article-dump/articles/album_review/born_in_the_u.s.a/1984-08-04_charles-shaar-murray_nme_[1006].md,Charles Shaar Murray,NME,Born In The USA Review,1984-08-04,Album Review,Born In The U.S.A.
1007,https://github.com/lilbud/btx-article-dump/articles/concert_review/1985-06-04_springsteen_scruff_as_superstar_[1007].md,Simon Frith,The Observer,Springsteen: Scruff As Superstar,1985-06-04,Concert Review,
1008,https://github.com/lilbud/btx-article-dump/articles/commentary/1975-10-11_the_sprucing_of_the_springbean_[1008].md,Charles Shaar Murray,NME,The Sprucing Of The Springbean,1975-10-11,Commentary,
1009,https://github.com/lilbud/btx-article-dump/articles/interview/1975-11-15_nme_interview_[1009].md,Andrew Tyler,NME,NME Interview,1975-11-15,Interview,
1010,https://github.com/lilbud/btx-article-dump/articles/concert_review/1976-10-28_a_truly_great_gig_[1010].md,Chris Charlesworth,Melody Maker,A Truly Great Gig,1976-10-28,Concert Review,
1011,https://github.com/lilbud/btx-article-dump/articles/concert_review/1978-05-26_reborn_and_running_again_[1011].md,Harvey Kubernik,Melody Maker,Reborn and Running Again,1978-05-26,Concert Review,
1012,https://github.com/lilbud/btx-article-dump/articles/album_review/the_river/1980-10-11_phil-sutcliffe_sounds_[1012].md,Phil Sutcliffe,Sounds,The River Review,1980-10-11,Album Review,The River
1013,https://github.com/lilbud/btx-article-dump/articles/album_review/the_river/1980-10-11_paolo-hewitt_melody-maker_[1013].md,Paolo Hewitt,Melody Maker,The River Review,1980-10-11,Album Review,The River
1014,https://github.com/lilbud/btx-article-dump/articles/album_review/the_river/1981-01-01_ira-robbins_trouser-press_[1014].md,Ira Robbins,Trouser Press,The River Review,1981-01-01,Album Review,The River
1015,https://github.com/lilbud/btx-article-dump/articles/commentary/1981-02-01_the_man_who_would_save_rock_and_roll_[1015].md,Greil Marcus,New West,The Man Who Would Save Rock And Roll,1981-02-01,Commentary,
